32.07,21.44,-30.842,-10.24367,2.219021,-38.7641
32.07,21.44,-30.842,-7.636999,3.499448,-38.17616
32.07,21.44,-30.842,-4.991658,4.800639,-37.55173
32.07,21.44,-30.842,-2.317925,6.102128,-37.13527
32.07,21.44,-30.842,0.3893999,7.402839,-36.9826
32.07,21.44,-30.842,3.075395,8.690086,-36.88168
32.07,21.44,-30.842,5.749584,9.971528,-36.7835
32.07,21.44,-30.842,8.429785,11.25583,-36.68535
32.07,21.44,-30.842,11.1757,12.57053,-36.60202
32.07,21.44,-30.842,13.88003,13.86451,-36.53272
32.07,21.44,-30.842,16.57853,15.15522,-36.47103
32.07,21.44,-30.842,19.33356,16.47277,-36.41121
32.07,21.44,-30.842,22.01999,17.75513,-36.39038
32.07,21.44,-30.842,24.53142,18.97984,-35.96413
32.07,21.44,-30.842,27.12558,20.26013,-35.28463
32.07,21.44,-30.842,28.94919,21.00734,-37.20689
32.07,21.44,-30.842,32.02183,19.38386,-42.29917
-20.16,17.67,-3.8,-18.70067,1.8838,38.69917
-20.16,17.67,-3.8,-18.70231,1.8838,38.69712
-20.16,17.67,-3.8,-18.70239,1.8838,38.69703
-20.16,17.67,-3.8,-18.70239,1.8838,38.69703
-20.16,17.67,-3.8,-17.75265,1.8838,39.65128
-20.16,17.67,-3.8,-15.14594,1.8838,40.6984
-20.16,17.67,-3.8,-14.15226,1.8838,40.8581
-20.16,17.67,-3.8,-13.95466,1.8838,39.3815
-20.16,17.67,-3.8,-13.09038,1.8838,36.6513
-20.16,17.67,-3.8,-11.38853,1.8838,34.35052
-20.16,17.67,-3.8,-13.00143,1.8838,33.07056
-20.16,17.67,-3.8,-14.30319,1.8838,30.79944
-20.16,17.67,-3.8,-14.23012,1.8838,27.86977
-20.16,17.67,-3.8,-15.68516,1.8838,25.40864
-20.16,17.67,-3.8,-17.49603,1.8838,23.03944
-20.16,17.67,-3.8,-19.67198,1.8838,21.08602
-20.16,17.67,-3.8,-21.13804,1.8838,18.86001
-20.16,17.67,-3.8,-21.56532,1.8838,15.95542
-20.16,17.67,-3.8,-22.53952,1.8838,13.26168
-20.16,17.67,-3.8,-24.19906,1.8838,10.98602
-20.16,17.67,-3.8,-24.00912,1.8838,8.107645
-20.16,17.67,-3.8,-24.21302,1.8838,5.297799
-20.16,17.67,-3.8,-25.8741,1.8838,2.890905
-20.16,17.67,-3.8,-20.13472,1.8838,-18.83624
-20.16,17.67,-3.8,-21.38988,1.8838,-21.22303
-20.16,17.67,-3.8,-22.92701,1.8838,-24.04378
-20.16,17.67,-3.8,-22.5868,1.8838,-26.93083
-20.16,17.67,-3.8,-23.07095,1.8838,-29.75679
-20.16,17.67,-3.8,-24.71862,1.8838,-32.22038
-20.16,17.67,-3.8,-42.33642,5.733753,-33.75204
-20.16,17.67,-3.8,-38.36024,10.59765,-29.6119
-20.16,17.67,-3.8,-36.21002,10.63562,-27.71725
-20.16,17.67,-3.8,-34.31654,10.63404,-25.39978
-20.16,17.67,-3.8,-22.03694,10.63382,-8.601293
-20.16,17.67,-3.8,-20.77766,14.83386,-5.499851
-20.16,17.67,-3.8,-15.57578,11.63374,-5.181095
-20.16,17.67,-3.8,-15.43357,11.63375,-5.1731
-20.16,17.67,-3.8,-16.45246,11.63373,-4.461127
-20.16,17.67,-3.8,-30.26627,10.63378,-7.503132
-20.16,17.67,-3.8,-18.44591,19.2638,-4.637321
35.7,13.65,40.15,-18.80881,1.8838,38.9902
35.7,13.65,40.15,-19.29182,1.8838,39.82475
35.7,13.65,40.15,-19.31364,1.8838,39.86217
35.7,13.65,40.15,-19.31463,1.8838,39.86386
35.7,13.65,40.15,-19.31467,1.8838,39.86394
35.7,13.65,40.15,-19.31467,1.8838,39.86394
35.7,13.65,40.15,-17.80459,1.8838,39.25254
35.7,13.65,40.15,-14.86318,1.8838,39.28049
35.7,13.65,40.15,-12.27518,1.8838,38.47141
35.7,13.65,40.15,-9.266863,1.8838,38.46764
35.7,13.65,40.15,-6.29578,1.78933,38.65686
35.7,13.65,40.15,-3.331575,1.78933,38.73624
35.7,13.65,40.15,-0.3068019,1.78933,38.86094
35.7,13.65,40.15,2.650386,1.78933,39.15679
35.7,13.65,40.15,5.657021,1.78933,39.28798
35.7,13.65,40.15,8.646117,1.78933,39.10302
35.7,13.65,40.15,11.62336,1.78933,38.85062
35.7,13.65,40.15,14.57512,1.78933,38.8078
35.7,13.65,40.15,17.63248,1.78933,38.71538
35.7,13.65,40.15,20.51611,1.78933,38.04915
35.7,13.65,40.15,23.40524,1.78933,37.25994
35.7,13.65,40.15,41.73727,9.2338,37.24255
35.7,13.65,40.15,41.82061,9.2338,37.24501
35.7,13.65,40.15,41.82431,9.2338,37.24512
